ts,page,module,ms,fps,frame_ms,extra
2026-09-11 20:10:57,,,,,风筝:tick动画,157.1,1170,0.13,4.3
2026-09-11 20:11:57,,19,1,627,,,,,
2026-09-11 20:11:57,,,,,风筝:tick动画,364.6,649,0.56,6.9
2026-09-11 20:12:57,,13,0,593,,,,,
2026-09-11 20:12:57,,,,,风筝:tick动画,563.1,614,0.92,10.3
2026-09-11 20:13:57,,33,1,544,,,,,
2026-09-11 20:13:57,,,,,风筝:tick动画,71.5,558,0.13,3.5
2026-09-11 20:14:27,,29,19,901,,,,,
2026-09-11 20:14:27,,,,,风筝:tick动画,196.9,941,0.21,5.4
2026-09-11 20:15:27,,20,1,742,,,,,
2026-09-11 20:15:27,,,,,风筝:tick动画,108.9,772,0.14,0.8
2026-09-11 20:16:27,,20,10,1669,,,,,
2026-09-11 20:16:27,,,,,风筝:tick动画,250.5,1747,0.14,2.1
2026-09-11 20:17:27,,40,12,1469,,,,,
2026-09-11 20:17:27,,,,,风筝:tick动画,209.4,1526,0.14,5.3
2026-09-11 20:18:27,,17,5,1180,,,,,
2026-09-11 20:18:27,,,,,风筝:tick动画,157.7,1229,0.13,2.2
2026-09-11 20:19:27,,22,0,595,,,,,
2026-09-11 20:19:27,,,,,风筝:tick动画,101.0,619,0.16,7.5
2026-09-11 20:19:57,,9,9,575,,,,,
2026-09-11 20:19:57,,,,,风筝:tick动画,84.0,600,0.14,5.3
2026-09-11 20:20:27,,16,4,315,,,,,
2026-09-11 20:20:27,,,,,风筝:tick动画,40.9,322,0.13,0.6
2026-09-11 20:21:27,,10,3,768,,,,,
2026-09-11 20:21:27,,,,,风筝:tick动画,102.6,786,0.13,5.4
2026-09-11 20:22:27,,12,5,972,,,,,
2026-09-11 20:22:27,,,,,风筝:tick动画,138.2,1012,0.14,5.4
2026-09-11 20:22:58,,12,6,214,,,,,
2026-09-11 20:22:58,,,,,风筝:tick动画,29.1,220,0.13,0.6
2026-09-11 20:23:49,,0,0,2,,,,,
2026-09-11 20:23:49,,,,,风筝:tick动画,0.1,2,0.05,0.1
2026-09-11 20:24:27,,12,5,535,,,,,
2026-09-11 20:24:27,,,,,风筝:tick动画,82.5,549,0.15,5.3
2026-09-11 20:25:27,,22,9,982,,,,,
2026-09-11 20:25:27,,,,,风筝:tick动画,123.3,1014,0.12,0.5
2026-09-11 20:25:57,,14,5,431,,,,,
2026-09-11 20:25:57,,,,,风筝:tick动画,58.7,445,0.13,0.7
2026-09-11 20:26:57,,7,3,579,,,,,
2026-09-11 20:26:57,,,,,风筝:tick动画,85.9,597,0.14,5.3
2026-09-11 20:27:27,,9,2,258,,,,,
2026-09-11 20:27:27,,,,,风筝:tick动画,39.6,263,0.15,5.2
2026-09-11 20:28:15,,60,38,1690,,,,,
2026-09-11 20:28:15,,,,,风筝:tick动画,311.9,1770,0.18,1.1
2026-09-11 20:28:45,,60,59,1717,,,,,
2026-09-11 20:28:45,,,,,风筝:tick动画,441.5,1798,0.25,3.5
2026-09-11 20:29:15,,56,55,1691,,,,,
2026-09-11 20:29:15,,,,,风筝:tick动画,607.8,1766,0.34,4.4
2026-09-11 20:29:45,,58,34,1608,,,,,
2026-09-11 20:29:45,,,,,风筝:tick动画,269.4,1681,0.16,0.9
2026-09-11 20:30:45,,58,50,3280,,,,,
2026-09-11 20:30:45,,,,,风筝:tick动画,588.0,3436,0.17,1.1
2026-09-11 20:31:15,,60,48,1379,,,,,
2026-09-11 20:31:15,,,,,风筝:tick动画,237.4,1447,0.16,1.1
2026-09-11 20:32:15,,37,2,2367,,,,,
2026-09-11 20:32:15,,,,,风筝:tick动画,407.4,2475,0.16,3.5
2026-09-11 20:33:26,,59,50,1704,,,,,
2026-09-11 20:34:26,,59,48,3403,,,,,
2026-09-11 20:35:26,,57,45,3305,,,,,
2026-09-11 20:35:57,,30,30,1528,,,,,
2026-09-11 20:36:56,,51,23,2617,,,,,
2026-09-11 20:37:26,,47,21,1344,,,,,
2026-09-11 20:37:56,,38,36,1407,,,,,
2026-09-11 20:38:26,,47,22,1127,,,,,
2026-09-11 20:38:57,,53,16,1044,,,,,
2026-09-11 20:39:56,,24,17,2015,,,,,
2026-09-11 20:40:57,,30,1,1759,,,,,
2026-09-11 20:41:27,,20,12,957,,,,,
2026-09-11 20:41:57,,10,10,723,,,,,
2026-09-11 20:42:27,,17,8,391,,,,,
